0.843669	0.000000	1.570236
2.162149	0.000000	1.570236
3.438414	0.196014	1.570236
4.730740	0.415847	1.374192
6.030787	0.667085	1.154326
7.302963	0.861837	0.903051
8.599740	1.049371	0.708269
9.875198	1.188311	0.520707
11.172914	1.303974	0.381746
12.460977	1.384276	0.266066
13.725632	1.446817	0.185752
15.059884	1.490544	0.123201
16.344414	1.522925	0.079468
17.697138	1.543262	0.047082
19.022253	1.557209	0.026742
20.324390	1.565538	0.012792
21.628176	1.570171	0.004463
22.960135	1.572260	-0.000171
24.245983	1.572992	-0.002260
25.565559	1.573026	-0.002992
26.853104	1.572714	-0.003027
28.154985	1.572282	-0.002714
29.482044	1.571813	-0.002283
30.760733	1.571416	-0.001813
32.039764	1.571078	-0.001416
33.382420	1.570794	-0.001078
34.687969	1.570573	-0.000794
35.982250	1.570414	-0.000573
37.335617	1.570305	-0.000414
38.648788	1.570221	-0.000305
39.949409	1.570156	-0.000221
41.235134	1.570112	-0.000156
42.530884	1.570109	-0.000112
43.845676	1.570109	-0.000109
45.147305	1.570109	-0.349050
46.424053	1.570109	-0.349050
47.749611	1.527357	-0.349050
49.047783	1.471507	-0.306291
50.320717	1.415658	-0.251280
51.635197	1.366224	-0.195234
52.958492	1.322955	-0.145625
54.307228	1.293110	-0.102203
55.638905	1.267855	-0.072253
56.971909	1.252089	-0.046909
58.324535	1.240228	-0.031087
59.670895	1.231999	-0.019184
60.986141	1.227000	-0.010926
62.298599	1.223914	-0.005909
63.664383	1.222166	-0.002813
64.967400	1.221232	-0.001058
66.302284	1.220765	-0.000121
67.652710	1.220604	0.000348
68.971863	1.220595	0.350630
70.284279	1.220642	0.700759
71.602180	1.267082	1.050832
72.956558	1.373053	1.004229
74.289612	1.524530	0.897883
75.544594	1.695714	0.745872
76.844528	1.831461	0.574083
78.128738	1.952459	0.437858
79.468315	2.046269	0.316432
80.839699	2.122126	0.222290
82.127663	2.177135	0.146166
83.448807	2.213643	0.090963
84.779167	2.237790	0.054326
86.102455	2.252898	0.030093
87.498528	2.261957	0.014933
88.772423	2.266889	0.005841
90.103973	2.269329	0.000892
91.488937	2.270238	-0.001557
92.751251	2.270422	-0.002468
94.126778	2.270243	-0.002654
95.467987	2.269867	-0.002473
